student_id,course_id,mark,semester_number,predicted_mark,student_count_above_zero,course_count_above_zero,difference
33436,PHAC 457,75.0,1,67.35478175885964,11,1855,7.6452182411403555
12882,PHPT 734,45.0,1,52.643770704474846,42,1337,7.643770704474846
12843,PHR 015,70.0,2,77.63988772128775,54,1165,7.639887721287749
28364,PHPP 642,93.0,2,85.36054908488416,30,1493,7.6394509151158445
34247,PHR 209,78.0,1,85.63744604738605,13,1940,7.6374460473860495
33398,RQUE5,75.0,2,82.63649328999048,12,1637,7.636493289990483
6423,PHPT 931,69.0,1,61.36409573553335,55,1043,7.635904264466653
34426,PHAC 358,60.0,2,67.6351820802189,12,1723,7.635182080218897
28089,PHBM 947,77.0,1,84.63100314412412,30,1417,7.631003144124122
19478,PHBM 848,93.0,2,85.36944399453648,38,1165,7.630556005463518
29540,PHAC 556,57.0,1,64.63007542487267,25,1597,7.630075424872672
33331,PHAC 358,72.0,2,64.37103100785679,13,1723,7.628968992143214
9887,PHPP 839,58.0,1,50.37226868166989,55,1067,7.627731318330113
7757,PHCC 728,52.0,2,59.627503679822965,45,1244,7.627503679822965
27938,PHAC 358,72.0,2,64.37499127200836,23,1723,7.625008727991641
27964,PHBM 552,66.0,2,58.37612610487063,29,1437,7.623873895129371
33528,PHR 208,67.0,2,59.37685884550656,13,2107,7.623141154493439
15254,PHPP 840,84.0,2,91.62272353241164,40,1115,7.622723532411641
20414,PHBM 848,80.0,1,72.3791222133031,51,1165,7.620877786696894
28359,PHBM 654,56.0,1,63.62016731873063,25,1690,7.62016731873063
33660,PHAC 457,93.0,1,85.38029193559981,14,1855,7.619708064400186
18501,PHR 913,54.0,2,61.617728857657674,42,994,7.617728857657674
33436,PHAC 556,80.0,2,72.38616289709898,11,1597,7.613837102901016
12617,PHR 420,80.0,1,87.61366163049667,52,1406,7.613661630496665
2739,PHPP 839,46.0,1,38.38914090921538,59,1067,7.610859090784622
15056,PHR 016,95.0,1,87.389672446241,37,1323,7.6103275537590065
16386,PHR 016,96.0,1,88.39406162014689,44,1323,7.605938379853114
24877,PHR 319,45.0,1,52.60584082158441,25,1781,7.605840821584408
22142,PHR 420,84.0,1,76.39493535320398,42,1406,7.6050646467960235
19660,PHAC 556,87.0,1,79.39654932011115,39,1597,7.6034506798888515
21688,PHR 016,90.0,2,82.39687039741828,34,1323,7.603129602581717
28234,PHCC 629,77.0,2,69.39792361297019,28,1447,7.602076387029811
29588,PHCC 022,77.0,2,69.39890384424972,21,1344,7.601096155750284
9114,PHPT 030,64.0,2,71.5993484797744,48,950,7.599348479774406
13018,PHPT 030,61.0,1,53.40620458020466,65,950,7.593795419795342
21251,PHR 015,69.0,1,76.5907720313427,48,1165,7.590772031342695
33212,PHCC 326,66.0,1,58.41154426666542,13,1928,7.588455733334577
28732,PHPP 543,67.0,2,59.41428744752974,25,1625,7.585712552470262
20464,PHBM 751,88.0,1,80.41428955917122,39,1447,7.585710440828777
25421,PHCC 728,64.0,1,71.58374391325418,40,1244,7.583743913254182
28194,PHBM 654,51.0,1,43.41659362742059,24,1690,7.583406372579411
15099,PHPP 642,60.0,2,52.41752971471917,41,1493,7.582470285280827
8405,PHPT 030,56.0,2,63.58152971015589,49,950,7.581529710155891
19660,PHPT 734,80.0,2,72.41952127891372,39,1337,7.58047872108628
28775,PHPT 535,77.0,1,69.41992232432293,42,1695,7.5800776756770745
34458,PHCC 326,83.0,2,75.42062333799039,12,1928,7.579376662009608
29578,PHR 420,59.0,2,66.57912944805122,12,1406,7.579129448051219
33392,RQUE6,86.0,1,78.42103331889027,13,257,7.578966681109733
33447,RQUE5,93.0,1,85.42301919051467,13,1637,7.576980809485335
8645,PHR 405,86.0,1,78.42346698069964,49,1329,7.576533019300356
688,PHPT 833,67.0,1,59.423619429923335,51,1161,7.576380570076665
11360,PHE2,98.0,1,90.42499847561109,52,966,7.5750015243889095
28651,PHPT 535,67.0,1,74.57450929161426,25,1695,7.5745092916142625
8777,PHCC 924,77.0,2,69.42557150551706,47,1110,7.5744284944829445
12658,PHPT 030,71.0,2,63.4259079761725,50,950,7.574092023827497
32791,PHR 310,60.0,1,52.42745830079916,24,1794,7.5725416992008405
33182,RQU 207,99.0,2,91.42921277608752,14,2024,7.570787223912475
28495,PHBM 654,72.0,1,64.43183273759881,25,1690,7.5681672624011895
28516,PHPT 638,73.0,2,65.43226359491598,26,1525,7.56773640508402
11161,PHR 017,89.0,1,81.43453447644549,52,1306,7.565465523554508
11218,PHR 420,74.0,1,66.4358730521992,53,1406,7.564126947800801
8694,PHPC 545,69.0,1,61.44838553569892,49,1641,7.551614464301082
28662,PHR 405,75.0,2,82.55145835663116,29,1329,7.551458356631159
33417,PHPT 638,85.0,2,77.4493579888309,17,1525,7.550642011169103
27863,PHAC 556,95.0,2,87.44997125368046,30,1597,7.550028746319541
33891,PHR 319,74.0,2,66.45082804857941,13,1781,7.54917195142059
11377,PHR 405,54.0,2,61.546050857917706,52,1329,7.546050857917706
27852,PHBM 654,94.0,1,86.45777998520553,31,1690,7.5422200147944665
34069,PHCC 326,64.0,1,56.457913154153864,13,1928,7.542086845846136
35197,RQUE5,97.0,1,89.4579916462003,6,1637,7.542008353799702
10025,PHR 017,67.0,1,59.46088032388718,52,1306,7.5391196761128185
28282,PHR 512,83.0,1,75.46250367855994,26,1596,7.537496321440059
33621,PHAC 358,95.0,2,87.46279070008447,15,1723,7.537209299915531
8244,PHCC 924,84.0,1,91.53691739251983,51,1110,7.536917392519825
2805,PHCC 924,63.0,2,55.468461364782065,49,1110,7.5315386352179345
33990,RQU 207,87.0,1,79.47235985570916,16,2024,7.527640144290842
24187,PHPP 741,84.0,1,76.47316574992766,47,1241,7.526834250072341
34724,PHAC 358,52.0,1,59.52680502170983,14,1723,7.5268050217098335
28479,PHAC 556,91.0,2,83.47383382327736,25,1597,7.52616617672264
33031,RQUE6,99.0,1,91.47695931507519,13,257,7.523040684924808
10841,PHE2,81.0,2,73.47722148052301,54,966,7.5227785194769865
21915,RQUE6,83.0,1,75.47738376096939,32,257,7.5226162390306115
6689,PHBM 453,59.0,2,51.48061923659763,41,1743,7.519380763402367
24759,PHAC 855,67.0,1,59.48139165322704,39,1303,7.518608346772957
20799,PHCC 924,84.0,2,76.48253981880023,39,1110,7.517460181199766
15219,PHCC 924,75.0,2,82.5151572047223,47,1110,7.5151572047223
20464,PHPT 931,75.0,2,82.51448431910718,39,1043,7.514484319107183
18120,PHE3,77.0,2,69.4896834849828,37,1465,7.510316515017195
34221,PHCC 326,80.0,1,72.49154119723825,13,1928,7.508458802761751
8457,PHR 914,87.0,2,94.50800162251724,49,927,7.5080016225172415
21663,PHPT 931,63.0,2,70.50765257394463,38,1043,7.507652573944625
33782,PHE6,70.0,2,77.50724461668591,14,341,7.5072446166859095
28153,PHPT 535,88.0,1,80.49276267864899,26,1695,7.507237321351013
8088,PHPP 741,80.0,1,72.49327512062709,53,1241,7.506724879372911
19734,PHR 016,89.0,1,81.49706223239302,38,1323,7.50293776760698
10703,PHBM 848,78.0,1,70.4992883764002,51,1165,7.500711623599798
29564,PHBM 947,48.0,2,55.499516339766465,26,1417,7.4995163397664655
14059,PHR 405,71.0,2,78.49848459058774,39,1329,7.498484590587736
34299,PHAC 556,72.0,2,64.50154059659367,11,1597,7.498459403406329
28320,PHAC 556,91.0,1,83.50342479059209,27,1597,7.496575209407908
22798,PHCC 924,84.0,2,76.50428724153637,42,1110,7.495712758463625
12852,PHR 913,66.0,1,58.50483290181568,52,994,7.495167098184318
23819,PHR 718,72.0,1,64.50539863695433,42,1275,7.494601363045675
33982,PHR 420,95.0,1,87.50570754211026,13,1406,7.494292457889742
28605,PHPC 545,80.0,1,72.50607227446416,27,1641,7.4939277255358405
27938,PHPT 535,65.0,2,57.50882528490218,23,1695,7.49117471509782
9176,PHCC 728,78.0,1,70.50938990248042,52,1244,7.490610097519578
9653,PHCC023,81.0,1,73.5094730288916,55,943,7.490526971108395
33934,PHPT 337,80.0,1,72.50991501730944,13,2198,7.490084982690561
34257,PHPT 436,83.0,1,75.51097464662143,13,1972,7.489025353378565
28178,PHPT 638,76.0,2,68.51100416349308,26,1525,7.488995836506916
28438,PHAC 457,66.0,2,73.48637173954207,23,1855,7.486371739542065
11430,PHE6,71.0,1,78.48606036467349,54,341,7.486060364673492
24390,PHCC 924,75.0,2,67.51477563408622,48,1110,7.48522436591378
29538,PHBM 453,76.0,2,83.4845613237449,25,1743,7.484561323744899
5927,PHCC 326,62.0,1,54.5204519294797,24,1928,7.479548070520302
6431,PHR 017,70.0,1,77.47934603151266,57,1306,7.479346031512662
8342,PHR 512,78.0,1,85.47886351577196,51,1596,7.4788635157719625
33559,PHR 206,80.0,2,72.52277742438227,14,2324,7.477222575617731
10846,PHPC 545,86.0,1,78.5243141725091,54,1641,7.475685827490906
33234,PHPC 446,79.0,2,71.52466800379345,14,1888,7.475331996206549
24712,PHBM 552,53.0,1,60.475013479819324,37,1437,7.475013479819324
24187,PHPT 030,79.0,2,71.52605253284102,47,950,7.473947467158979
6423,PHPP 840,55.0,1,62.47378787758386,55,1115,7.4737878775838595
21728,PHPP 840,65.0,2,72.47269952591034,34,1115,7.472699525910343
11143,PHBM 751,96.0,1,88.527506104774,47,1447,7.472493895225995
10025,PHCC023,64.0,1,56.52776046887769,52,943,7.472239531122312
28506,PHPC 545,90.0,1,82.53064531570887,28,1641,7.469354684291133
33182,PHE6,97.0,1,89.53111856945377,14,341,7.468881430546233
28428,PHBM 654,78.0,2,70.5314998390846,24,1690,7.468500160915397
29578,PHCC225,50.0,1,57.466989857816,12,2218,7.466989857816003
8962,PHE4,68.0,1,75.46649944519508,55,478,7.466499445195083
8985,PHPT 931,72.0,1,64.53399786488254,54,1043,7.4660021351174635
12848,PHR 017,83.0,1,75.53578419602397,56,1306,7.464215803976032
28036,PHPT 638,83.0,2,75.53585589574166,26,1525,7.464144104258338
8343,RQU 207,57.0,2,49.53782009069799,48,2024,7.462179909302009
27885,PHPT 436,88.0,1,80.53813767816226,26,1972,7.461862321837742
33994,PHPT 436,88.0,1,80.53824352425595,15,1972,7.461756475744053
28639,PHBM 552,69.0,2,76.46133689710149,28,1437,7.461336897101489
28466,PHR 319,69.0,1,61.53968163541356,28,1781,7.460318364586442
11958,PHE4,73.0,1,65.53981245854952,58,478,7.46018754145048
5060,PHCC 728,63.0,1,55.54144550574311,48,1244,7.458554494256887
20860,PHPT 734,64.0,2,56.54244142246775,42,1337,7.457558577532247
34221,PHR 209,91.0,1,83.54301975954877,13,1940,7.45698024045123
